as_of_date,category,stock_quantity,days_until_expiry,original_price,candidate_price,discount_pct,recent_7d_velocity,previous_23d_velocity,weekday,observation_count,units_sold_before_expiry
2026-01-01,Produce,6,4,377.24,301.79,20,2.1915,2.966,0,5,6
2026-01-02,Meat,7,14,39.15,31.32,20,0.3721,1.1487,1,20,7
2026-01-03,Dairy,72,23,224.27,134.56,40,0.6905,1.0642,2,25,46.54
2026-01-04,Grocery,38,11,98.85,69.19,30,1.0259,1.2349,3,14,21.23
2026-01-05,Seafood,80,12,150.65,150.65,0,0.8504,0.568,4,20,12.37
2026-01-06,Deli,49,27,299.24,269.32,10,1.1311,1.4483,5,12,48.89
2026-01-07,Bakery,32,28,436.58,283.78,35,1.6435,2.5556,6,9,32
2026-01-08,Produce,12,9,314.34,267.19,15,2.5054,1.5607,0,17,12
2026-01-09,Grocery,74,9,129.32,90.52,30,1.3335,0.5669,1,13,16.79
2026-01-10,Grocery,11,9,125.22,87.65,30,1.0886,1.0821,2,23,11
2026-01-11,Grocery,36,5,91.32,68.49,25,0.9931,0.6827,3,7,5.83
2026-01-12,Meat,14,16,384.0,345.6,10,0.9171,1.2117,4,24,14
2026-01-13,Grocery,11,20,207.76,124.66,40,0.0838,0.8547,5,26,11
2026-01-14,Bakery,71,22,381.67,267.17,30,1.7265,2.2408,6,17,71
2026-01-15,Bakery,36,24,486.65,413.65,15,1.5015,1.7876,0,19,36
2026-01-16,Meat,22,7,202.61,172.22,15,0.5763,0.5444,1,19,4.91
2026-01-17,Bakery,44,20,257.09,231.38,10,2.9678,1.322,2,4,44
2026-01-18,Dairy,75,29,474.8,427.32,10,1.1079,1.4061,3,27,38.18
2026-01-19,Meat,19,25,85.99,51.59,40,1.3185,1.035,4,9,19
2026-01-20,Meat,28,25,363.65,236.37,35,1.009,1.5779,5,17,28
2026-01-21,Meat,18,15,142.76,128.48,10,0.8304,1.474,6,5,18
2026-01-22,Produce,10,21,133.75,133.75,0,2.4899,2.1462,0,10,10
2026-01-23,Deli,65,22,126.76,107.75,15,1.0552,0.4656,1,18,25.6
2026-01-24,Seafood,27,14,69.8,45.37,35,0.7917,0.7307,2,30,22.36
2026-01-25,Produce,15,2,53.79,37.65,30,2.1053,1.7258,3,7,9.15
2026-01-26,Grocery,38,6,244.75,220.28,10,1.405,0.4413,4,20,10.74
2026-01-27,Bakery,72,2,422.11,379.9,10,2.8956,1.3316,5,9,8.45
2026-01-28,Seafood,10,13,103.2,103.2,0,1.2142,1.1111,6,28,10
2026-01-29,Seafood,39,15,225.93,135.56,40,1.0488,1.0872,0,20,33.08
2026-01-30,Bakery,43,24,52.15,31.29,40,1.6381,0.7433,1,8,43
2026-01-31,Bakery,13,17,429.39,386.45,10,1.0187,1.3446,2,21,13
2026-02-01,Dairy,79,19,43.88,39.49,10,1.7642,0.9794,3,19,40.33
2026-02-02,Deli,36,30,122.02,85.41,30,1.2299,1.5605,4,13,36
2026-02-03,Seafood,12,30,29.42,26.48,10,0.6655,1.0675,5,11,12
2026-02-04,Dairy,47,30,443.41,354.73,20,1.2901,1.6928,6,22,47
2026-02-05,Seafood,70,21,28.72,21.54,25,0.4752,1.0148,0,7,19.19
2026-02-06,Deli,16,4,377.65,321.0,15,1.1199,1.6857,1,23,6.98
2026-02-07,Seafood,67,9,257.05,257.05,0,0.6918,1.1371,2,11,8.21
2026-02-08,Bakery,45,1,391.28,293.46,25,2.1588,2.2955,3,6,3.67
2026-02-09,Bakery,22,29,284.16,198.91,30,1.0229,1.5344,4,7,22
2026-02-10,Bakery,49,10,452.02,452.02,0,2.1483,1.58,5,27,22.88
2026-02-11,Meat,55,29,487.57,414.43,15,1.2793,1.3167,6,8,50.13
2026-02-12,Seafood,25,26,443.67,443.67,0,1.2075,1.4543,0,24,25
2026-02-13,Seafood,34,24,151.73,136.56,10,0.5822,0.8439,1,18,20.13
2026-02-14,Dairy,61,7,191.09,152.87,20,1.6306,2.1515,2,5,18.3
2026-02-15,Seafood,47,9,329.7,214.31,35,1.0516,0.6771,3,13,12.15
2026-02-16,Bakery,36,4,109.82,82.36,25,2.6245,1.9732,4,16,18.29
2026-02-17,Meat,17,17,207.97,166.38,20,1.6579,1.0846,5,3,17
2026-02-18,Meat,71,30,351.26,281.01,20,1.0036,1.1947,6,13,45.83
2026-02-19,Produce,18,28,366.88,275.16,25,1.4621,1.1112,0,13,18
2026-02-20,Grocery,40,23,288.35,230.68,20,0.2706,1.3414,1,22,16.62
2026-02-21,Meat,54,10,285.27,285.27,0,0.3539,1.0247,2,28,6.25
2026-02-22,Meat,44,20,245.87,147.52,40,0.8925,0.7475,3,26,36.28
2026-02-23,Dairy,13,22,159.8,111.86,30,0.2187,2.4235,4,10,13
2026-02-24,Produce,31,10,408.12,346.9,15,2.5184,2.0687,5,5,31
2026-02-25,Grocery,76,14,117.36,76.28,35,1.106,0.7758,6,23,25.19
2026-02-26,Produce,16,1,394.75,315.8,20,2.7913,3.3497,0,10,4.34
2026-02-27,Seafood,61,4,88.34,53.0,40,0.8886,0.5029,1,22,2.7
2026-02-28,Deli,59,25,316.01,205.41,35,1.4566,0.8033,2,18,59
2026-03-01,Grocery,34,9,423.93,317.95,25,0.6524,1.0361,3,23,8.44
2026-03-02,Dairy,59,9,61.8,46.35,25,1.5462,1.9052,4,7,30.79
2026-03-03,Dairy,22,13,360.55,324.5,10,1.366,1.153,5,17,22
2026-03-04,Grocery,29,2,420.62,273.4,35,1.3832,0.7763,6,27,3.54
2026-03-05,Meat,64,13,27.8,19.46,30,0.3851,1.0013,0,29,13.45
2026-03-06,Grocery,72,18,404.94,323.95,20,0.7213,1.0177,1,24,18.37
2026-03-07,Produce,54,26,368.99,221.39,40,2.0626,3.4752,2,20,54
2026-03-08,Bakery,53,30,306.15,306.15,0,2.376,2.0876,3,11,53
2026-03-09,Grocery,30,11,240.98,168.69,30,0.8354,1.0206,4,27,16.32
2026-03-10,Seafood,35,14,421.58,252.95,40,1.2893,0.9408,5,23,35
